merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
72472909171,Nullam Consulting,"Arts, Media & Entertainment",14,14,122,7
98166254020,Magna Sed Industries,"Arts, Media & Entertainment",17,17,139,12
49505931725,Suspendisse Ac Associates,"Arts, Media & Entertainment",31,31,113,13
21439773999,Mauris Non Institute,"Arts, Media & Entertainment",5,5,171,14
64403598239,Lobortis Ultrices Company,"Arts, Media & Entertainment",6,6,186,17
63123845164,Odio Phasellus Institute,"Arts, Media & Entertainment",11,11,181,19
35223308778,Euismod In Corp.,"Arts, Media & Entertainment",35,35,140,23
63290521567,Vehicula Pellentesque Corporation,"Arts, Media & Entertainment",39,39,145,26
34179569263,Sodales At LLC,"Arts, Media & Entertainment",32,32,183,32
86710922099,Ac Urna Consulting,"Arts, Media & Entertainment",61,60,162,41
71759376949,Pharetra Corp.,"Arts, Media & Entertainment",53,53,201,45
89932674734,Nulla Vulputate Company,"Arts, Media & Entertainment",91,91,128,46
27326652377,Tellus Aenean Corporation,"Arts, Media & Entertainment",57,57,197,48
46012371285,A Ultricies Inc.,"Arts, Media & Entertainment",70,70,172,49
98072939449,Mattis Velit Justo Ltd,"Arts, Media & Entertainment",56,56,202,51
26169574842,Dolor Dolor Industries,"Arts, Media & Entertainment",62,62,191,52
67978471888,Magna Malesuada Corp.,"Arts, Media & Entertainment",16,15,288,54
78073971498,Venenatis A Industries,"Arts, Media & Entertainment",96,96,131,55
15560455575,Morbi Accumsan Laoreet Industries,"Arts, Media & Entertainment",99,99,147,65
61080648284,Lobortis Ultrices LLC,"Arts, Media & Entertainment",85,83,177,66
40515428545,Elit Sed Consequat Associates,"Arts, Media & Entertainment",19,19,324,77
46298404088,Feugiat Sed Nec Institute,"Arts, Media & Entertainment",75,75,219,78
63817709749,A Felis Ullamcorper Industries,"Arts, Media & Entertainment",84,82,212,82
39649557865,Arcu Morbi Institute,"Arts, Media & Entertainment",87,86,218,88
13812221471,Eget Massa Associates,"Arts, Media & Entertainment",97,97,210,89
35556933338,Semper Cursus Integer Limited,"Arts, Media & Entertainment",108,108,196,91
68004106739,Nec Ante Ltd,"Arts, Media & Entertainment",138,138,138,92
71247553576,Et Magnis Dis Corp.,"Arts, Media & Entertainment",101,101,220,94
