merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
89726005175,Est Nunc Consulting,"Home, Garden & Living",8,7,132,5
76767266140,Phasellus At Limited,"Home, Garden & Living",18,18,129,9
38090089066,Interdum Feugiat Sed Inc.,"Home, Garden & Living",38,37,130,20
21772962346,Purus Gravida Sagittis Ltd,"Home, Garden & Living",37,36,168,31
90543168331,Phasellus Dapibus Incorporated,"Home, Garden & Living",52,52,170,39
50315283629,Iaculis Aliquet Diam LLC,"Home, Garden & Living",74,75,150,44
42355028515,Eu Inc.,"Home, Garden & Living",33,33,250,53
52959528548,Libero Et Limited,"Home, Garden & Living",86,84,155,57
49212265466,Auctor Company,"Home, Garden & Living",42,42,243,58
76314317957,Semper Corp.,"Home, Garden & Living",50,50,230,60
29639699851,Sodales Elit Erat Corporation,"Home, Garden & Living",78,80,187,65
49891706470,Non Vestibulum Industries,"Home, Garden & Living",21,21,303,66
64203420245,Pede Nonummy Corp.,"Home, Garden & Living",59,58,231,69
43186523025,Lorem Ipsum Sodales Industries,"Home, Garden & Living",23,24,310,75
90173050473,Lobortis Class Industries,"Home, Garden & Living",80,81,224,86
97159474697,Sodales Limited,"Home, Garden & Living",137,138,146,94
24852446429,Erat Vitae LLP,"Home, Garden & Living",49,49,360,110
98269572896,Eget Laoreet Posuere PC,"Home, Garden & Living",83,85,299,113
74063123996,Nec Eleifend Non Ltd,"Home, Garden & Living",121,122,228,114
38012560280,In Tempus Associates,"Home, Garden & Living",131,139,237,121
37379915451,Tempor Est Ac Corporation,"Home, Garden & Living",120,119,270,122
83815730799,Feugiat Metus Sit Industries,"Home, Garden & Living",124,124,314,130
98518649381,Nullam Scelerisque Neque Corp.,"Home, Garden & Living",112,109,342,131
10323485998,Nunc Inc.,"Home, Garden & Living",125,127,318,132
90578415511,A Scelerisque Foundation,"Home, Garden & Living",132,134,335,140
18935690984,Semper Et Consulting,"Home, Garden & Living",222,225,190,153
75944642726,Et PC,"Home, Garden & Living",182,183,282,156
82065156333,Nascetur Ridiculus PC,"Home, Garden & Living",177,181,296,158
57900494384,Porttitor Tellus Corporation,"Home, Garden & Living",123,126,418,159
38212167834,Magna Suspendisse Industries,"Home, Garden & Living",207,212,278,168
75850458091,Dictum Sapien Incorporated,"Home, Garden & Living",140,146,428,175
26148653604,Volutpat Nulla Incorporated,"Home, Garden & Living",172,164,421,190
41705715409,Augue Eu LLP,"Home, Garden & Living",141,144,499,200
96152467973,Rhoncus Donec Associates,"Home, Garden & Living",265,272,320,213
75723980434,Velit Eget Foundation,"Home, Garden & Living",161,159,537,214
76646764782,Tempor Diam Inc.,"Home, Garden & Living",289,287,377,245
28690231799,Mollis Phasellus Ltd,"Home, Garden & Living",341,346,271,247
21094505909,Venenatis Corp.,"Home, Garden & Living",221,219,556,261
25938405651,Elementum Dui Quis Ltd,"Home, Garden & Living",282,274,449,266
22718657980,Ultricies Ornare Associates,"Home, Garden & Living",246,244,531,270
24471518053,Enim Suspendisse Aliquet LLP,"Home, Garden & Living",268,261,536,284
43127814599,Nam Ligula Elit Foundation,"Home, Garden & Living",380,379,316,290
54550134954,Tempor Diam Dictum Company,"Home, Garden & Living",413,412,274,294
82298341051,Eros Institute,"Home, Garden & Living",365,369,378,302
53126107676,Sed Neque Corporation,"Home, Garden & Living",276,273,567,304
16256895427,Tempus Non Foundation,"Home, Garden & Living",254,241,630,308
44403753948,Urna LLC,"Home, Garden & Living",327,329,494,317
91923722701,Euismod Urna Institute,"Home, Garden & Living",345,349,551,352
17324645993,Eget Metus In Corporation,"Home, Garden & Living",378,374,500,355
88393306198,Mauris LLC,"Home, Garden & Living",497,494,286,370
86182863634,Luctus Vulputate Nisi Institute,"Home, Garden & Living",317,310,674,376
70009327857,Torquent Per Inc.,"Home, Garden & Living",454,460,388,377
86871438193,Nunc Interdum Inc.,"Home, Garden & Living",401,407,501,379
48997695741,Lorem Tristique Institute,"Home, Garden & Living",386,390,542,386
45759576746,Auctor Velit PC,"Home, Garden & Living",483,468,372,387
36066395091,Tristique LLC,"Home, Garden & Living",312,321,718,390
25370771356,Eu Tempor LLP,"Home, Garden & Living",330,315,745,404
71178069190,Auctor Velit Eget LLC,"Home, Garden & Living",407,398,606,408
99022808555,Turpis In LLC,"Home, Garden & Living",403,393,616,409
88402174457,Duis Dignissim LLC,"Home, Garden & Living",331,330,856,441
55069630872,A Nunc Corp.,"Home, Garden & Living",508,509,509,446
14639489823,Auctor Mauris Incorporated,"Home, Garden & Living",352,347,836,449
62191208634,Cursus Non Egestas Foundation,"Home, Garden & Living",648,650,241,452
58392414752,Mattis Ornare Lectus Inc.,"Home, Garden & Living",655,662,225,454
20520680348,Blandit Mattis Company,"Home, Garden & Living",354,358,848,460
10959028715,Ante Maecenas Ltd,"Home, Garden & Living",511,510,540,462
20985347699,Semper Tellus PC,"Home, Garden & Living",363,363,837,465
77690613296,Cursus Et Eros Corp.,"Home, Garden & Living",421,417,728,467
43356103768,Odio Limited,"Home, Garden & Living",314,318,959,477
98861937890,Metus Institute,"Home, Garden & Living",459,458,701,486
71518311042,Aliquam Adipiscing Company,"Home, Garden & Living",530,523,588,495
16119907679,Proin Non Inc.,"Home, Garden & Living",694,685,285,505
60462729568,Mattis Limited,"Home, Garden & Living",445,438,807,512
44780100984,Quam Quis Consulting,"Home, Garden & Living",456,445,795,513
47874674591,Ligula Tortor Dictum Associates,"Home, Garden & Living",405,402,910,515
73972053940,Quis Tristique Ac Associates,"Home, Garden & Living",545,542,661,526
17107204463,Ultricies Ornare Elit Limited,"Home, Garden & Living",681,678,437,544
28049322288,Donec Elementum Foundation,"Home, Garden & Living",558,561,679,546
60121698774,Nec Tempus Inc.,"Home, Garden & Living",532,530,747,550
46533246372,Ut Quam Inc.,"Home, Garden & Living",446,448,920,551
99275601275,Proin Velit Sed Foundation,"Home, Garden & Living",710,703,424,555
70610974780,Elit Aliquam PC,"Home, Garden & Living",455,446,962,563
32451620193,Malesuada Augue PC,"Home, Garden & Living",486,482,937,576
15903176024,Adipiscing Elit PC,"Home, Garden & Living",705,698,512,579
88816810320,Libero Company,"Home, Garden & Living",586,582,750,581
73619221575,Mollis Duis Consulting,"Home, Garden & Living",682,687,552,582
51959118092,Elementum Lorem Industries,"Home, Garden & Living",441,425,1057,585
79827781481,Amet Risus Inc.,"Home, Garden & Living",576,572,778,586
37662781564,Vitae Velit Egestas Incorporated,"Home, Garden & Living",659,655,627,588
35016722348,Lacus PC,"Home, Garden & Living",490,484,991,604
23692710924,Integer Urna Corporation,"Home, Garden & Living",516,517,947,609
43711175854,Amet Consectetuer Consulting,"Home, Garden & Living",491,491,1019,619
81369312244,Mauris Morbi Non Ltd,"Home, Garden & Living",771,771,495,630
32825608803,Dapibus Quam Quis Associates,"Home, Garden & Living",891,897,265,634
61412665910,Tempor Inc.,"Home, Garden & Living",885,870,326,641
89640578182,Magnis Foundation,"Home, Garden & Living",615,617,860,648
74369182597,Ridiculus Mus Donec LLP,"Home, Garden & Living",593,597,915,651
84057522285,Egestas Ligula Industries,"Home, Garden & Living",510,502,1112,658
78327477486,Auctor Inc.,"Home, Garden & Living",980,968,207,669
25235376304,Pellentesque Tellus Associates,"Home, Garden & Living",753,752,680,681
92636306985,Ornare Incorporated,"Home, Garden & Living",573,577,1045,686
45895438985,Luctus Ipsum PC,"Home, Garden & Living",720,716,762,691
97264771172,Lobortis Foundation,"Home, Garden & Living",608,600,992,692
51515623602,Eget Laoreet Associates,"Home, Garden & Living",665,666,876,694
17934773261,Fringilla LLP,"Home, Garden & Living",687,697,833,697
72539760068,Nunc Risus Varius Ltd,"Home, Garden & Living",600,601,1024,704
92598420603,Non Lobortis Quis LLP,"Home, Garden & Living",763,761,739,715
28556213345,Eu Augue Ltd,"Home, Garden & Living",669,673,958,724
86174823628,Eget Ipsum Suspendisse Industries,"Home, Garden & Living",832,835,649,729
81246943924,Sit Amet Diam Institute,"Home, Garden & Living",604,602,1180,757
51659779274,Luctus Lobortis Industries,"Home, Garden & Living",892,892,634,768
25078409316,Vel LLP,"Home, Garden & Living",663,669,1118,782
33651513345,Amet Lorem Ltd,"Home, Garden & Living",662,664,1127,785
90348927972,Sed Auctor Industries,"Home, Garden & Living",673,674,1110,787
54923508125,Ullamcorper Duis Corporation,"Home, Garden & Living",671,656,1153,794
92284330384,Id Risus Quis Consulting,"Home, Garden & Living",676,668,1146,803
29216160692,Class Aptent LLC,"Home, Garden & Living",731,724,1041,805
61634218640,Nam Interdum Enim Corporation,"Home, Garden & Living",903,910,726,822
71787414647,Aliquam Arcu Industries,"Home, Garden & Living",711,706,1133,824
77149983383,Egestas Aliquam Nec Ltd,"Home, Garden & Living",716,725,1128,828
19933438190,Dui Nec Corporation,"Home, Garden & Living",887,887,801,830
71961434094,Amet Diam Corporation,"Home, Garden & Living",790,787,1014,836
42752230305,Ut Molestie Foundation,"Home, Garden & Living",785,804,1037,856
14492521225,Praesent Eu Associates,"Home, Garden & Living",881,882,883,871
55294337974,Tristique Senectus Et Ltd,"Home, Garden & Living",972,974,706,876
29023134283,Mollis Lectus Industries,"Home, Garden & Living",828,820,1031,884
46116141083,Nisi LLP,"Home, Garden & Living",824,834,1028,885
26063968667,Dictum Eu Institute,"Home, Garden & Living",814,818,1100,892
49925232405,Aliquam Tincidunt Nunc PC,"Home, Garden & Living",969,971,802,893
35664226523,Erat Eget PC,"Home, Garden & Living",769,781,1217,900
44631836704,Auctor Incorporated,"Home, Garden & Living",847,841,1082,903
70038202360,Varius Orci Institute,"Home, Garden & Living",830,823,1122,904
78522984877,Viverra Maecenas Iaculis Associates,"Home, Garden & Living",813,808,1162,908
90672655190,Nullam Vitae Foundation,"Home, Garden & Living",889,890,1012,909
33495932835,Vel Arcu Foundation,"Home, Garden & Living",901,893,1002,911
78213188724,Sem Industries,"Home, Garden & Living",782,772,1252,913
71355732473,Dictum Mi Incorporated,"Home, Garden & Living",949,954,905,914
85276983280,Lacus Varius Corp.,"Home, Garden & Living",882,883,1065,918
65426342453,Nisl Nulla Eu LLC,"Home, Garden & Living",907,900,1026,920
34398628767,Ut Pharetra Sed Inc.,"Home, Garden & Living",921,922,1063,934
19618998054,Morbi Accumsan Industries,"Home, Garden & Living",1139,1138,657,943
48390524826,Nec Ante Associates,"Home, Garden & Living",850,849,1250,953
65189626072,Sollicitudin Orci Incorporated,"Home, Garden & Living",908,896,1174,958
93498928547,Natoque Penatibus Ltd,"Home, Garden & Living",811,806,1392,970
80682333501,Orci Corp.,"Home, Garden & Living",890,881,1259,979
26556866679,Vel Est Tempor Associates,"Home, Garden & Living",951,948,1156,988
77090965820,A Arcu Industries,"Home, Garden & Living",984,985,1092,991
80982848464,Tempor Augue Limited,"Home, Garden & Living",1233,1228,604,992
79283124876,Pellentesque Massa Associates,"Home, Garden & Living",884,889,1301,994
36555094223,Nunc Quis LLC,"Home, Garden & Living",911,905,1285,1002
74780446526,Ad Litora Institute,"Home, Garden & Living",958,960,1226,1012
51808433866,Arcu Vel Institute,"Home, Garden & Living",1017,1012,1134,1020
35809331583,Euismod In LLC,"Home, Garden & Living",874,876,1427,1027
83323591742,Eget Dictum Limited,"Home, Garden & Living",924,919,1360,1030
79928754880,Habitant Morbi Company,"Home, Garden & Living",1008,1000,1232,1039
