merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
89726005175,Est Nunc Consulting,"Home, Garden & Living",8,8,132,6
76767266140,Phasellus At Limited,"Home, Garden & Living",18,18,129,9
38090089066,Interdum Feugiat Sed Inc.,"Home, Garden & Living",38,38,130,21
21772962346,Purus Gravida Sagittis Ltd,"Home, Garden & Living",37,37,168,31
90543168331,Phasellus Dapibus Incorporated,"Home, Garden & Living",52,52,170,39
50315283629,Iaculis Aliquet Diam LLC,"Home, Garden & Living",74,74,150,43
42355028515,Eu Inc.,"Home, Garden & Living",33,33,250,53
52959528548,Libero Et Limited,"Home, Garden & Living",86,84,155,56
49212265466,Auctor Company,"Home, Garden & Living",42,42,243,58
76314317957,Semper Corp.,"Home, Garden & Living",50,50,230,60
29639699851,Sodales Elit Erat Corporation,"Home, Garden & Living",78,78,187,64
49891706470,Non Vestibulum Industries,"Home, Garden & Living",21,21,303,67
64203420245,Pede Nonummy Corp.,"Home, Garden & Living",59,59,231,69
43186523025,Lorem Ipsum Sodales Industries,"Home, Garden & Living",23,23,310,75
90173050473,Lobortis Class Industries,"Home, Garden & Living",80,80,224,87
97159474697,Sodales Limited,"Home, Garden & Living",137,137,146,93
24852446429,Erat Vitae LLP,"Home, Garden & Living",49,49,360,112
98269572896,Eget Laoreet Posuere PC,"Home, Garden & Living",83,81,299,114
74063123996,Nec Eleifend Non Ltd,"Home, Garden & Living",121,121,228,115
38012560280,In Tempus Associates,"Home, Garden & Living",131,131,237,120
37379915451,Tempor Est Ac Corporation,"Home, Garden & Living",120,120,270,122
83815730799,Feugiat Metus Sit Industries,"Home, Garden & Living",124,126,314,130
98518649381,Nullam Scelerisque Neque Corp.,"Home, Garden & Living",112,112,342,131
10323485998,Nunc Inc.,"Home, Garden & Living",125,124,318,132
90578415511,A Scelerisque Foundation,"Home, Garden & Living",132,132,335,140
18935690984,Semper Et Consulting,"Home, Garden & Living",222,222,190,151
75944642726,Et PC,"Home, Garden & Living",182,182,282,156
82065156333,Nascetur Ridiculus PC,"Home, Garden & Living",177,177,296,157
57900494384,Porttitor Tellus Corporation,"Home, Garden & Living",123,122,418,158
38212167834,Magna Suspendisse Industries,"Home, Garden & Living",207,205,278,166
75850458091,Dictum Sapien Incorporated,"Home, Garden & Living",140,139,428,171
26148653604,Volutpat Nulla Incorporated,"Home, Garden & Living",172,173,421,194
41705715409,Augue Eu LLP,"Home, Garden & Living",141,141,499,199
96152467973,Rhoncus Donec Associates,"Home, Garden & Living",265,264,320,213
75723980434,Velit Eget Foundation,"Home, Garden & Living",161,162,537,214
28690231799,Mollis Phasellus Ltd,"Home, Garden & Living",341,340,271,243
