merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
96680767841,Ornare Limited,"Lifestyle, Health & Recreation",4,4,126,2
48534649627,Dignissim Maecenas Foundation,"Lifestyle, Health & Recreation",12,12,123,5
88699453206,Sed Nec Inc.,"Lifestyle, Health & Recreation",67,67,115,33
22033359776,Suspendisse Non Leo PC,"Lifestyle, Health & Recreation",47,46,157,34
46804135891,Suspendisse Dui Corporation,"Lifestyle, Health & Recreation",63,63,125,35
13514558491,Magna Praesent PC,"Lifestyle, Health & Recreation",26,26,223,40
88358066529,Pede Cras Vulputate Consulting,"Lifestyle, Health & Recreation",76,76,161,50
21359184622,Sit Amet PC,"Lifestyle, Health & Recreation",54,54,246,73
18158387243,Nec Tellus Ltd,"Lifestyle, Health & Recreation",71,71,227,79
22227727512,Malesuada Integer Id Foundation,"Lifestyle, Health & Recreation",66,66,247,84
79633007926,Auctor Vitae Inc.,"Lifestyle, Health & Recreation",110,110,189,90
52594457116,Vel Turpis Aliquam Company,"Lifestyle, Health & Recreation",93,93,248,102
45946543693,Egestas Hendrerit LLP,"Lifestyle, Health & Recreation",106,106,304,123
51016899219,Dolor Fusce Industries,"Lifestyle, Health & Recreation",151,151,255,128
68645868338,Felis Purus Foundation,"Lifestyle, Health & Recreation",103,103,375,137
34172909925,Nec Ante Foundation,"Lifestyle, Health & Recreation",114,115,379,142
87717092177,Lacinia Mattis Corp.,"Lifestyle, Health & Recreation",185,185,262,149
95574756848,At Pede Inc.,"Lifestyle, Health & Recreation",113,114,406,150
64644843223,Dictum Augue Consulting,"Lifestyle, Health & Recreation",187,187,317,167
52794670013,Semper Pretium Corp.,"Lifestyle, Health & Recreation",175,171,354,169
62583219931,Mi Lacinia Mattis Corporation,"Lifestyle, Health & Recreation",212,212,292,173
17950989709,A Dui Institute,"Lifestyle, Health & Recreation",189,189,345,177
73256306726,Id LLP,"Lifestyle, Health & Recreation",213,213,312,182
25884436429,Lorem Auctor Ltd,"Lifestyle, Health & Recreation",180,181,413,195
11237511112,Magna Institute,"Lifestyle, Health & Recreation",315,314,211,211
54272781746,Non Massa Institute,"Lifestyle, Health & Recreation",294,294,277,216
70620117107,Ante Vivamus Consulting,"Lifestyle, Health & Recreation",193,193,485,217
37967061831,Nullam Foundation,"Lifestyle, Health & Recreation",216,216,479,233
71674475255,Lacinia Mattis LLC,"Lifestyle, Health & Recreation",387,387,159,240
14583462783,Elit Elit Institute,"Lifestyle, Health & Recreation",241,241,451,241
42150648766,Nec Mollis Corp.,"Lifestyle, Health & Recreation",166,165,629,247
18303734841,Sollicitudin Orci Ltd,"Lifestyle, Health & Recreation",218,218,549,254
46953117138,Eu Accumsan Foundation,"Lifestyle, Health & Recreation",409,410,184,263
99803748393,Risus Odio Auctor Foundation,"Lifestyle, Health & Recreation",243,244,519,264
62204398944,Vel Institute,"Lifestyle, Health & Recreation",217,217,590,273
61997656782,Mauris Erat Ltd,"Lifestyle, Health & Recreation",305,305,427,275
55501929396,Mauris Sagittis Corp.,"Lifestyle, Health & Recreation",388,391,283,283
31385641294,Semper Auctor PC,"Lifestyle, Health & Recreation",376,374,363,304
88547577701,Enim Etiam Industries,"Lifestyle, Health & Recreation",252,253,618,309
71381535323,Faucibus Leo In Corp.,"Lifestyle, Health & Recreation",287,289,576,318
81410315303,Sed Dictum PC,"Lifestyle, Health & Recreation",237,237,688,322
43321695302,Ante Limited,"Lifestyle, Health & Recreation",423,424,333,330
90994364089,Rhoncus Proin Inc.,"Lifestyle, Health & Recreation",234,234,721,337
81002603831,Vitae LLP,"Lifestyle, Health & Recreation",402,402,411,343
79710547245,Aliquam Arcu Limited,"Lifestyle, Health & Recreation",379,381,462,345
54097385985,Magna Nam Ltd,"Lifestyle, Health & Recreation",392,392,448,348
92065881715,Quam Elementum Corp.,"Lifestyle, Health & Recreation",436,438,397,365
46451548968,Tempus Eu Ligula Limited,"Lifestyle, Health & Recreation",340,346,591,368
43650058736,Malesuada Consulting,"Lifestyle, Health & Recreation",319,319,642,370
22059270846,Montes Nascetur Ridiculus Limited,"Lifestyle, Health & Recreation",329,329,625,372
41502716433,Mi Associates,"Lifestyle, Health & Recreation",389,389,602,400
22795471441,Etiam Gravida Molestie LLP,"Lifestyle, Health & Recreation",438,437,506,401
24043105437,Enim Nec Tempus Institute,"Lifestyle, Health & Recreation",442,446,520,407
11199348915,Orci Luctus PC,"Lifestyle, Health & Recreation",385,382,672,420
87084550311,Vulputate Inc.,"Lifestyle, Health & Recreation",427,428,600,425
53772871046,Adipiscing Associates,"Lifestyle, Health & Recreation",297,296,863,428
41980722395,Aliquet Nec PC,"Lifestyle, Health & Recreation",372,370,715,429
