merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
57757792876,Pretium Et LLC,Technology & Professional Services,29,29,135,16
45433476494,Adipiscing Elit Foundation,Technology & Professional Services,20,22,160,18
80518954462,Neque Sed Dictum Incorporated,Technology & Professional Services,44,44,119,22
82368304209,Nec Incorporated,Technology & Professional Services,7,8,206,25
35909341340,Arcu Sed Eu Incorporated,Technology & Professional Services,13,14,195,26
67400260923,Eleifend PC,Technology & Professional Services,30,32,166,28
93260930990,Pede Cras Vulputate Ltd,Technology & Professional Services,41,41,174,36
94690988633,Eu Placerat LLC,Technology & Professional Services,28,28,235,42
27093785141,Placerat Orci Institute,Technology & Professional Services,48,48,205,45
68216911708,Placerat Eget Venenatis Limited,Technology & Professional Services,60,60,204,56
16288327194,A Neque LLC,Technology & Professional Services,94,94,141,59
32709545238,Tempor Est Foundation,Technology & Professional Services,36,38,259,61
77338620996,Fames Ac Turpis LLC,Technology & Professional Services,77,79,179,63
34096466752,Nullam Enim Ltd,Technology & Professional Services,58,59,233,70
58454491168,Diam At Foundation,Technology & Professional Services,25,25,300,71
77590625261,Sed Diam Foundation,Technology & Professional Services,51,51,254,74
84703983173,Amet Consulting,Technology & Professional Services,104,104,169,81
57699602880,Tellus Id Institute,Technology & Professional Services,79,82,221,85
78760357380,Nibh Aliquam Corp.,Technology & Professional Services,133,135,118,87
41271931352,Ac Sem Ut Company,Technology & Professional Services,92,92,244,99
94455880010,Nunc Sit LLC,Technology & Professional Services,73,76,290,103
29641342749,Et Associates,Technology & Professional Services,115,117,209,104
74589998324,Nec Inc.,Technology & Professional Services,136,133,185,106
97603729191,Eu Company,Technology & Professional Services,105,107,242,107
45244796758,Vitae Dolor LLP,Technology & Professional Services,95,96,264,108
62692834922,Cum Sociis Company,Technology & Professional Services,145,161,156,112
97860823526,Aliquet Metus Urna Associates,Technology & Professional Services,162,172,143,115
10648956813,Proin Nisl Institute,Technology & Professional Services,111,111,256,116
69069584766,Cras Eget Foundation,Technology & Professional Services,126,131,276,127
50589958690,Nibh Quisque Corp.,Technology & Professional Services,155,165,268,137
82448693380,Vulputate Dui Nec Corp.,Technology & Professional Services,128,142,341,143
72897360319,Sapien Imperdiet Ornare Consulting,Technology & Professional Services,174,167,289,149
74093231988,Mi Eleifend Company,Technology & Professional Services,192,193,260,155
93260450766,Condimentum Limited,Technology & Professional Services,156,154,358,161
45056974934,Vel Pede Blandit Incorporated,Technology & Professional Services,181,184,325,166
55090181035,Dictum Ultricies Ltd,Technology & Professional Services,179,180,337,167
37459245212,Aliquet Phasellus Consulting,Technology & Professional Services,277,277,153,169
71989214810,Semper Et Lacinia Associates,Technology & Professional Services,163,170,399,182
14058755389,Vel Mauris Integer Limited,Technology & Professional Services,107,110,516,183
62694031334,Vel Est Tempor LLP,Technology & Professional Services,208,210,328,185
64732735902,Imperdiet Non Vestibulum Institute,Technology & Professional Services,164,162,422,186
27888724678,Ut Ipsum LLC,Technology & Professional Services,245,258,257,191
98627514823,Aliquam Gravida Mauris Corp.,Technology & Professional Services,200,201,387,201
45380641195,Nisl Arcu Iaculis Incorporated,Technology & Professional Services,186,187,459,207
42543374304,Morbi Metus Vivamus Inc.,Technology & Professional Services,171,175,524,218
34459028045,Tellus Eu Inc.,Technology & Professional Services,247,246,389,223
82812059627,Fermentum Institute,Technology & Professional Services,205,213,464,224
56946407125,Quisque Fringilla Limited,Technology & Professional Services,307,305,294,230
95431176007,Mi Enim Corporation,Technology & Professional Services,225,229,455,231
96133248275,Semper Dui PC,Technology & Professional Services,232,243,473,242
63978837398,In Tincidunt PC,Technology & Professional Services,215,217,517,243
15441635442,Lectus A Corp.,Technology & Professional Services,255,253,476,253
99467302626,Ac Ipsum Foundation,Technology & Professional Services,206,205,578,257
94729574738,Scelerisque Corporation,Technology & Professional Services,343,345,311,262
22526511302,Semper Et Incorporated,Technology & Professional Services,196,198,607,264
93532380797,Quisque Libero Lacus Incorporated,Technology & Professional Services,298,296,442,275
61085944703,Vestibulum Mauris Institute,Technology & Professional Services,261,275,505,276
12741443840,Tincidunt Aliquam Limited,Technology & Professional Services,203,202,644,280
49536733338,Duis A Ltd,Technology & Professional Services,250,255,545,281
77990807356,Natoque Penatibus Corp.,Technology & Professional Services,353,362,349,283
20549656225,Sed Inc.,Technology & Professional Services,351,355,364,286
32946666313,Ligula Donec LLC,Technology & Professional Services,304,308,463,291
28687004922,Eget Company,Technology & Professional Services,338,339,423,295
40049033270,Iaculis Aliquet Limited,Technology & Professional Services,260,264,577,296
27251742541,Malesuada Institute,Technology & Professional Services,275,276,558,300
10618089367,Enim Consequat Institute,Technology & Professional Services,373,378,359,301
92773401740,Massa Limited,Technology & Professional Services,416,432,266,303
46654841462,Iaculis Enim Corp.,Technology & Professional Services,358,368,396,306
23109950638,Etiam Bibendum Fermentum LLC,Technology & Professional Services,253,263,612,309
55306842177,Aliquam Iaculis Lacus Foundation,Technology & Professional Services,267,278,592,312
13839274306,Sit Amet Consectetuer PC,Technology & Professional Services,285,288,570,315
75090756544,Suspendisse Tristique Company,Technology & Professional Services,316,320,521,320
60813622669,Auctor Velit Consulting,Technology & Professional Services,233,238,693,324
38646383513,Leo Elementum Foundation,Technology & Professional Services,350,350,470,327
40272107679,Lobortis Augue Incorporated,Technology & Professional Services,302,300,573,330
22027671078,Mauris Magna Industries,Technology & Professional Services,393,386,398,332
69236417931,Vitae Velit Institute,Technology & Professional Services,293,299,585,333
87771712045,Vivamus Sit LLC,Technology & Professional Services,301,298,580,334
57626266756,Urna Justo Inc.,Technology & Professional Services,472,488,267,347
20364924160,Sed Congue Limited,Technology & Professional Services,288,289,682,358
86388904574,Nullam Suscipit LLC,Technology & Professional Services,328,336,597,359
82545351270,Vel Inc.,Technology & Professional Services,434,447,383,360
48981211054,Nibh Phasellus Nulla PC,Technology & Professional Services,344,353,568,361
56144254367,Erat Etiam Vestibulum LLP,Technology & Professional Services,498,499,269,363
46622394552,Laoreet Libero Et Ltd,Technology & Professional Services,286,297,685,365
45073039817,Praesent Interdum Ligula LLC,Technology & Professional Services,375,387,574,388
89260537373,Feugiat Incorporated,Technology & Professional Services,560,564,226,389
40453061481,Interdum Sed Limited,Technology & Professional Services,489,498,368,392
23661821077,Suspendisse Eleifend Corp.,Technology & Professional Services,475,477,408,393
72231375027,Sed Auctor LLC,Technology & Professional Services,296,301,782,401
56624752594,Tincidunt Vehicula Corp.,Technology & Professional Services,281,282,858,411
57573802697,Tellus Id Nunc Incorporated,Technology & Professional Services,396,404,631,416
16629601490,Enim Non Foundation,Technology & Professional Services,322,328,786,418
30209373786,Laoreet Inc.,Technology & Professional Services,347,351,749,419
88249446460,Pellentesque Habitant Morbi Institute,Technology & Professional Services,564,568,323,421
46674437504,Mi Enim Foundation,Technology & Professional Services,431,441,583,422
25624067782,Amet Corp.,Technology & Professional Services,444,463,550,423
74449830326,Ac Corp.,Technology & Professional Services,513,521,430,427
15790540567,Integer Foundation,Technology & Professional Services,447,442,611,437
47374330858,Aliquam Ultrices Iaculis Corporation,Technology & Professional Services,502,504,496,438
90522979771,Curabitur Consequat Consulting,Technology & Professional Services,384,389,767,453
75372814642,Nec LLC,Technology & Professional Services,581,580,390,456
70501974849,Facilisis Lorem Tristique Company,Technology & Professional Services,552,544,466,464
28663538418,Ipsum Dolor Limited,Technology & Professional Services,400,401,763,466
49609375026,Convallis LLC,Technology & Professional Services,430,456,702,473
60829135130,Tellus Imperdiet Non Inc.,Technology & Professional Services,612,633,350,479
35911782646,Semper Nam Tempor Limited,Technology & Professional Services,527,545,555,488
41747634618,Dolor Fusce Mi Incorporated,Technology & Professional Services,667,667,309,497
49514072231,Eget LLC,Technology & Professional Services,493,506,664,504
61310985405,Ipsum Primis In Corporation,Technology & Professional Services,381,405,881,507
70223714517,In Consectetuer Company,Technology & Professional Services,605,604,511,517
66161087361,Morbi LLC,Technology & Professional Services,517,537,668,518
42298598169,Velit Egestas PC,Technology & Professional Services,419,424,900,525
87404274320,Tincidunt Aliquam Associates,Technology & Professional Services,627,629,510,530
81583941068,Aliquam Vulputate Ullamcorper Foundation,Technology & Professional Services,610,609,553,531
35424691626,Eu Sem Pellentesque Limited,Technology & Professional Services,572,575,632,535
22469567189,Quam Dignissim Pharetra Consulting,Technology & Professional Services,468,472,867,549
28896046710,Nec Orci Ltd,Technology & Professional Services,426,429,961,552
71361928741,Ut Odio Inc.,Technology & Professional Services,626,627,599,559
97886307095,Ullamcorper Institute,Technology & Professional Services,477,485,898,561
81836621910,Et Institute,Technology & Professional Services,798,798,279,567
73527950332,Orci Ut Ltd,Technology & Professional Services,470,473,945,569
77505747217,Et Arcu LLC,Technology & Professional Services,563,566,765,571
38710494876,Morbi Non Corp.,Technology & Professional Services,646,658,596,575
17055065679,Sit Amet Consectetuer Ltd,Technology & Professional Services,631,642,635,577
29921604246,Tellus Justo Sit Company,Technology & Professional Services,602,603,703,578
43930439013,Dignissim Institute,Technology & Professional Services,519,516,914,594
43833568675,Eu Odio Corp.,Technology & Professional Services,482,489,980,596
12434006854,Feugiat Non Associates,Technology & Professional Services,504,505,949,597
55958301764,Eget Magna Ltd,Technology & Professional Services,546,557,857,600
99229845016,Phasellus Corp.,Technology & Professional Services,592,606,768,605
88652114856,Eros PC,Technology & Professional Services,630,628,733,612
77925217758,Diam Pellentesque LLC,Technology & Professional Services,634,639,722,613
27975606844,Tempor Diam Dictum Industries,Technology & Professional Services,561,563,874,615
34621449599,Vivamus Nibh Company,Technology & Professional Services,721,717,563,618
86223953880,Libero Et Inc.,Technology & Professional Services,795,799,425,624
40201093869,Justo Praesent Corporation,Technology & Professional Services,539,560,951,632
97903083009,Praesent Eu Dui LLP,Technology & Professional Services,574,571,906,633
69377909125,Urna Vivamus Institute,Technology & Professional Services,841,842,373,637
59615752944,Mauris Corporation,Technology & Professional Services,647,646,785,638
15130143460,Integer LLP,Technology & Professional Services,709,723,648,640
41450604292,Turpis Nulla Corp.,Technology & Professional Services,580,595,912,646
87632767975,Aliquam Foundation,Technology & Professional Services,725,741,637,650
17073441842,Duis Corp.,Technology & Professional Services,589,592,944,659
33064796871,Curabitur Massa Consulting,Technology & Professional Services,616,620,893,661
32894483068,Non Egestas LLP,Technology & Professional Services,506,511,1119,663
75664480997,Molestie Sodales PC,Technology & Professional Services,755,759,636,667
62739118502,Vel Venenatis Vel Consulting,Technology & Professional Services,679,680,798,670
66858882701,Elit Elit Fermentum Limited,Technology & Professional Services,614,632,916,673
34900312172,Arcu Sed Et Limited,Technology & Professional Services,625,631,907,674
74874670528,Aliquet Odio PC,Technology & Professional Services,756,763,653,678
74319969182,Morbi Tristique Corp.,Technology & Professional Services,548,548,1096,685
93606772530,At Arcu Vestibulum Company,Technology & Professional Services,1011,1018,192,700
39190083890,Rutrum Urna Corp.,Technology & Professional Services,914,916,405,705
97861055416,Morbi Neque Inc.,Technology & Professional Services,801,794,656,711
43301018611,Dui Nec Corp.,Technology & Professional Services,789,782,681,712
65038094136,Praesent Interdum Associates,Technology & Professional Services,651,641,984,718
21046714053,Nibh Phasellus Nulla Foundation,Technology & Professional Services,640,649,993,719
45446645240,Vivamus Rhoncus Limited,Technology & Professional Services,649,645,994,720
59274084898,Sodales Elit PC,Technology & Professional Services,877,886,529,723
20497101151,Arcu Vestibulum Ante LLC,Technology & Professional Services,772,778,751,725
99478391356,Orci Quis Foundation,Technology & Professional Services,985,995,340,730
29063380341,Arcu Imperdiet Ullamcorper LLC,Technology & Professional Services,585,587,1149,732
43671774465,Condimentum Donec At Ltd,Technology & Professional Services,622,623,1081,733
46564887665,Suspendisse LLC,Technology & Professional Services,777,777,789,737
52037285370,In Felis Nulla LLC,Technology & Professional Services,674,675,1005,740
54702673300,Maecenas Mi Industries,Technology & Professional Services,879,877,601,742
67882460777,Ipsum PC,Technology & Professional Services,660,661,1058,752
58139231665,Dolor Nonummy Limited,Technology & Professional Services,944,943,507,760
39010056512,Cursus Et Eros Industries,Technology & Professional Services,700,707,1001,765
44440245427,In Felis Inc.,Technology & Professional Services,807,813,800,770
21820852598,Et Tristique Consulting,Technology & Professional Services,712,720,996,774
32844138686,At Augue Id Associates,Technology & Professional Services,916,923,593,777
67920961191,Ut Pharetra Company,Technology & Professional Services,978,981,488,780
68874243493,Nullam Suscipit Consulting,Technology & Professional Services,864,859,724,781
95896852636,Rhoncus Associates,Technology & Professional Services,823,829,820,792
37351213839,Lacus Quisque Purus Institute,Technology & Professional Services,678,676,1121,793
22155114860,Suscipit Nonummy Fusce PC,Technology & Professional Services,778,774,936,801
59248738261,Ullamcorper Ltd,Technology & Professional Services,862,867,760,802
45466221547,Eu LLC,Technology & Professional Services,836,832,831,806
16165222459,Vehicula Pellentesque LLP,Technology & Professional Services,742,756,1013,813
92696023351,Odio Aliquam Vulputate Limited,Technology & Professional Services,696,699,1116,814
56530958295,Pede Et LLC,Technology & Professional Services,621,625,1265,815
88230622213,Eu Tellus Ltd,Technology & Professional Services,613,615,1303,820
17758483290,Orci PC,Technology & Professional Services,835,851,872,826
69320682085,Consequat Dolor Foundation,Technology & Professional Services,691,694,1197,833
67713855705,Nulla Industries,Technology & Professional Services,774,786,1033,837
74337408103,Donec At Inc.,Technology & Professional Services,708,696,1189,839
35040817462,Dolor Vitae Limited,Technology & Professional Services,783,792,1025,842
25083358415,Interdum Libero Dui Foundation,Technology & Professional Services,919,932,758,845
19633197919,Molestie Sodales Mauris Industries,Technology & Professional Services,930,930,752,847
54197321846,Parturient Montes Corporation,Technology & Professional Services,950,959,704,848
44915049915,Nulla Foundation,Technology & Professional Services,982,982,654,849
92616389691,Maecenas Iaculis Aliquet Limited,Technology & Professional Services,899,895,830,853
29202486033,Vel Foundation,Technology & Professional Services,865,875,884,854
92064565896,Justo Praesent Luctus PC,Technology & Professional Services,677,682,1269,857
64573039027,Magna Sed Eu Associates,Technology & Professional Services,686,688,1257,859
48290289285,Sed Dolor Corporation,Technology & Professional Services,923,925,788,861
92895607850,Risus PC,Technology & Professional Services,766,776,1095,862
76910557723,Leo LLP,Technology & Professional Services,713,718,1206,863
52034043972,Non Dapibus Rutrum Limited,Technology & Professional Services,1098,1120,432,874
24094430920,Ac Fermentum LLP,Technology & Professional Services,737,738,1175,875
18525353549,Pede Ultrices Corp.,Technology & Professional Services,821,830,1070,889
99514198047,Ultricies Dignissim Lacus Corp.,Technology & Professional Services,1073,1065,622,895
91157839617,Blandit Nam Limited,Technology & Professional Services,940,939,882,897
68828285855,Mi Pede Nonummy Limited,Technology & Professional Services,833,827,1101,898
28622174594,Parturient Montes Foundation,Technology & Professional Services,846,824,1109,906
86010199872,Orci In Foundation,Technology & Professional Services,1040,1047,741,916
24351356445,At Pede Cras Corp.,Technology & Professional Services,787,807,1253,925
20594162542,Litora Torquent Per LLP,Technology & Professional Services,1013,1014,851,929
46887242827,Sollicitudin PC,Technology & Professional Services,975,988,929,932
97802179094,Ut Molestie In Ltd,Technology & Professional Services,851,856,1209,936
10342410215,Facilisis Facilisis Corp.,Technology & Professional Services,970,977,981,940
21881994118,Varius Ultrices LLP,Technology & Professional Services,834,838,1270,947
91960562098,Amet Faucibus Corporation,Technology & Professional Services,1057,1075,811,948
31969420866,Sed Leo Cras Incorporated,Technology & Professional Services,1005,1002,978,959
12042198256,Donec Nibh LLP,Technology & Professional Services,840,846,1306,962
70805280228,Odio Auctor Foundation,Technology & Professional Services,878,878,1240,965
82044452251,Malesuada Integer Id Company,Technology & Professional Services,1070,1105,823,966
97088280855,Odio Vel Est Associates,Technology & Professional Services,1027,1021,957,968
53620352987,Scelerisque Mollis Phasellus PC,Technology & Professional Services,997,1007,1006,972
39368471973,In Lorem Industries,Technology & Professional Services,1138,1139,755,981
36961482719,In Cursus Corp.,Technology & Professional Services,966,964,1123,987
73895811023,Libero Mauris Aliquam Associates,Technology & Professional Services,939,946,1205,999
14639241847,Aliquet Molestie Tellus Company,Technology & Professional Services,1081,1094,919,1000
37718833659,Est LLC,Technology & Professional Services,990,999,1131,1004
85556646149,Proin Nisl Inc.,Technology & Professional Services,1006,1019,1097,1005
30779952495,Nam Consequat Institute,Technology & Professional Services,1187,1185,754,1007
32423905315,Hendrerit Consulting,Technology & Professional Services,1151,1147,843,1010
32173481131,Non PC,Technology & Professional Services,860,864,1432,1018
46083747689,Nam Interdum Enim Institute,Technology & Professional Services,1060,1051,1059,1024
25228131129,Quisque Nonummy Ltd,Technology & Professional Services,920,920,1348,1029
70713877189,Praesent Eu Incorporated,Technology & Professional Services,1185,1173,852,1033
95682671933,Arcu Vestibulum Ut Inc.,Technology & Professional Services,943,937,1341,1035
29351616009,Urna Industries,Technology & Professional Services,1132,1126,1016,1048
69059526358,Eleifend Egestas Sed Corporation,Technology & Professional Services,991,997,1314,1054
65134002757,Elit Etiam Laoreet Foundation,Technology & Professional Services,1401,1403,502,1055
97129028344,Pede Ultrices A Inc.,Technology & Professional Services,1022,1031,1266,1060
16143938351,Enim Institute,Technology & Professional Services,1089,1083,1188,1067
33268824520,Arcu Nunc Incorporated,Technology & Professional Services,1077,1085,1211,1071
17009186054,Et Ltd,Technology & Professional Services,1118,1128,1152,1078
49412216510,Nec Quam Curabitur Incorporated,Technology & Professional Services,979,969,1531,1090
20692490685,Aliquet Molestie Limited,Technology & Professional Services,1362,1384,776,1107
50185854379,Adipiscing Lacus Limited,Technology & Professional Services,1282,1288,973,1111
80116239104,Ut Semper Limited,Technology & Professional Services,1165,1155,1224,1112
24123600795,Et Eros Inc.,Technology & Professional Services,1235,1227,1093,1121
22614311069,Vivamus Limited,Technology & Professional Services,1146,1142,1276,1124
35769589414,Arcu Et Pede Limited,Technology & Professional Services,1238,1255,1072,1126
98400051901,Vitae LLC,Technology & Professional Services,1252,1240,1088,1129
81561729667,Gravida Molestie Associates,Technology & Professional Services,1122,1133,1340,1135
66066213362,Nunc Sed LLP,Technology & Professional Services,1058,1058,1502,1147
36461610866,Phasellus Fermentum Corporation,Technology & Professional Services,1223,1223,1184,1152
89536028092,Mauris Rhoncus LLC,Technology & Professional Services,1075,1074,1507,1160
60470122582,Consequat Purus Industries,Technology & Professional Services,1158,1157,1345,1161
52323926070,Lorem Ac Risus Institute,Technology & Professional Services,1654,1655,361,1163
83575543026,Ipsum Nunc Id LLC,Technology & Professional Services,1441,1445,816,1172
62074083335,Aliquet Libero Corporation,Technology & Professional Services,1096,1089,1527,1177
25627894706,Ut Company,Technology & Professional Services,1084,1091,1538,1178
63419471661,Eget Magna Corp.,Technology & Professional Services,1209,1210,1298,1182
32446633720,Dolor Nonummy Corporation,Technology & Professional Services,1266,1262,1192,1183
90025866810,Donec Feugiat Metus LLC,Technology & Professional Services,1128,1121,1473,1185
28464012306,Amet Corporation,Technology & Professional Services,1102,1115,1522,1190
96442520325,Nullam Lobortis Quam Company,Technology & Professional Services,1219,1212,1310,1191
85502310765,Magnis Dis Parturient Industries,Technology & Professional Services,1555,1548,643,1194
11173270682,Feugiat Tellus LLP,Technology & Professional Services,1409,1417,988,1212
10385250025,Id Ltd,Technology & Professional Services,1106,1112,1620,1224
53339073841,Facilisis Vitae Corporation,Technology & Professional Services,1101,1111,1626,1225
21232022824,Quis Massa Mauris Corporation,Technology & Professional Services,1208,1201,1439,1226
56829863713,Nascetur Ridiculus Corp.,Technology & Professional Services,1166,1170,1537,1233
10255988167,Aliquam Enim Incorporated,Technology & Professional Services,1196,1211,1478,1238
94206932226,Interdum Feugiat Ltd,Technology & Professional Services,1286,1289,1327,1242
41481009028,Laoreet Libero Inc.,Technology & Professional Services,1203,1218,1495,1247
55407818029,Imperdiet LLP,Technology & Professional Services,1278,1277,1381,1254
48421784228,Rutrum Foundation,Technology & Professional Services,1044,1044,1886,1272
51479541036,Leo Cras Vehicula LLC,Technology & Professional Services,1322,1320,1339,1276
72758063852,Vestibulum Ante Ipsum Corporation,Technology & Professional Services,1154,1160,1673,1277
83000061755,Eros Industries,Technology & Professional Services,1729,1737,523,1278
58596147982,Rutrum Lorem Inc.,Technology & Professional Services,1274,1265,1455,1280
50450845980,Malesuada Vel Limited,Technology & Professional Services,1174,1191,1641,1285
66464469789,Mauris Erat Associates,Technology & Professional Services,1262,1266,1481,1287
38194917037,Vel Nisl LLP,Technology & Professional Services,1363,1380,1282,1294
66835892718,Iaculis Nec Industries,Technology & Professional Services,1182,1174,1679,1298
99672926179,Molestie Ltd,Technology & Professional Services,1468,1472,1159,1315
47879799074,Proin Incorporated,Technology & Professional Services,1324,1327,1461,1323
59659309503,Lacus Vestibulum Associates,Technology & Professional Services,1339,1349,1456,1334
55123279982,Luctus Lobortis Class Institute,Technology & Professional Services,1080,1081,2010,1344
17559476022,Id Incorporated,Technology & Professional Services,1249,1238,1686,1345
10279061213,Pede Ultrices Industries,Technology & Professional Services,1340,1353,1501,1354
47148752699,Nunc Ut Erat Limited,Technology & Professional Services,1400,1402,1400,1357
78403451584,Duis A Institute,Technology & Professional Services,1399,1400,1405,1358
16980639748,Sodales Elit Erat LLC,Technology & Professional Services,1481,1492,1233,1359
88389375042,Dapibus Inc.,Technology & Professional Services,1822,1818,587,1366
55193751157,Rhoncus Proin PC,Technology & Professional Services,1367,1375,1536,1372
36300724008,Ligula Aenean Associates,Technology & Professional Services,1419,1421,1497,1385
53415858879,Proin Foundation,Technology & Professional Services,1395,1395,1563,1389
46372571372,Aliquet Vel Company,Technology & Professional Services,1224,1236,1913,1399
18416401655,Pellentesque Incorporated,Technology & Professional Services,1225,1221,1932,1402
95733974200,Montes Ltd,Technology & Professional Services,1199,1202,1983,1407
72136613350,Rhoncus Proin Nisl Associates,Technology & Professional Services,1391,1401,1607,1416
26358864089,Leo Elementum Sem LLC,Technology & Professional Services,1445,1439,1535,1420
36235884040,Curabitur Massa PC,Technology & Professional Services,1313,1323,1784,1421
80621802588,Nonummy Consulting,Technology & Professional Services,1343,1354,1739,1428
54900312378,Non Ante Bibendum PC,Technology & Professional Services,1427,1430,1588,1431
22811128657,Viverra Inc.,Technology & Professional Services,1515,1511,1421,1433
76149814641,Id Sapien Ltd,Technology & Professional Services,1455,1466,1554,1443
97785987616,Sodales Nisi Ltd,Technology & Professional Services,1561,1565,1356,1448
78119440529,Pede Praesent Limited,Technology & Professional Services,1312,1309,1870,1453
74061266589,Dolor Donec Corporation,Technology & Professional Services,1672,1677,1144,1454
48723861274,Metus Eu LLP,Technology & Professional Services,1554,1566,1374,1456
16178821827,Odio Tristique Institute,Technology & Professional Services,1423,1424,1676,1469
89153112408,Sagittis Limited,Technology & Professional Services,1265,1278,2009,1478
75919025716,Rutrum Eu Ultrices Corp.,Technology & Professional Services,1317,1302,1947,1484
46007761675,Est Nunc Ullamcorper Institute,Technology & Professional Services,1382,1392,1815,1493
55094723224,Nulla Facilisi Associates,Technology & Professional Services,1611,1620,1362,1495
24264927934,Non Inc.,Technology & Professional Services,1480,1490,1647,1502
62422038748,Tempus Scelerisque Lorem PC,Technology & Professional Services,1638,1631,1353,1504
69576401798,Arcu Curabitur Institute,Technology & Professional Services,1791,1797,1052,1512
27110349542,Felis Nulla Tempor Institute,Technology & Professional Services,1523,1535,1587,1515
